player,pos,team,worpTier,worp,porp,tradeValue,week,spikeHighP,spikeMidP,spikeLowP
Mac Jones,QB,SF,3,-0.02,-4.08,880,11,0,0.18181818181818182,0.5454545454545454
Kirk Cousins,QB,LV,3,-0.07,-7.26,857,9,0.1111111111111111,0.1111111111111111,0.3333333333333333
Jaylin Noel,WR,HOU,5,-0.77,-73.4,842,16,0,0.0625,0.125
Terrance Ferguson,TE,LA,4,-0.7,-62.6,840,14,0,0.07142857142857142,0.21428571428571427
Jalen Milroe,QB,SEA,4,-0.44,-42.76,830,3,0,0,0
Trey Benson,RB,ARI,3,-0.03,-3.4,792,4,0,0,0.25
Kayshon Boutte,WR,NE,3,0.02,-1.5,791,13,0.15384615384615385,0.3076923076923077,0.38461538461538464
Cade Klubnik,QB,NYJ,,,,763,,NaN,NaN,NaN
Tory Horton,WR,SEA,3,-0.08,-6.2,735,8,0.25,0.25,0.375
Cade Otton,TE,TB,4,-0.53,-43.2,667,15,0,0.06666666666666667,0.26666666666666666
Jalen Royals,WR,KC,4,-0.49,-48.2,660,6,0,0,0
Jordan James,RB,SF,4,-0.15,-16.3,657,2,0,0,0
Malik Washington,WR,MIA,4,-0.48,-45,653,16,0,0.0625,0.125
Adam Randall,RB,BAL,,,,648,,NaN,NaN,NaN
Dalton Schultz,TE,HOU,3,-0.04,0.8,641,16,0.0625,0.3125,0.5625
Anthony Richardson,QB,IND,4,-0.28,-27.6,612,2,0,0,0
Justin Joly,TE,DEN,,,,606,,NaN,NaN,NaN
Michael Mayer,TE,LV,4,-0.42,-41.8,565,12,0.08333333333333333,0.16666666666666666,0.16666666666666666
Elijah Arroyo,TE,SEA,5,-0.81,-72.5,559,13,0,0,0.07692307692307693
Elic Ayomanor,WR,TEN,4,-0.36,-31.6,556,15,0,0,0.2
Tre Tucker,WR,LV,3,0.04,2.4,534,16,0.0625,0.125,0.25
Ollie Gordon,RB,MIA,5,-0.81,-77.9,534,16,0,0.0625,0.1875
Emanuel Wilson,RB,SEA,4,-0.47,-43.6,529,16,0.0625,0.125,0.25
Sean Tucker,RB,TB,4,-0.44,-37.1,529,16,0.0625,0.125,0.25
LeQuint Allen,RB,JAX,5,-1.07,-104.7,521,16,0,0,0
Pat Freiermuth,TE,PIT,4,-0.48,-37.2,511,16,0.0625,0.125,0.3125
Tyreek Hill,WR,,3,0.09,9.3,504,4,0,0,0.75
Jaydon Blue,RB,DAL,4,-0.23,-22.5,498,4,0,0,0
Jaylen Wright,RB,MIA,4,-0.27,-27.5,497,9,0.1111111111111111,0.1111111111111111,0.2222222222222222
Justin Fields,QB,KC,3,0.45,30.78,494,9,0.3333333333333333,0.4444444444444444,0.5555555555555556
Ray Davis,RB,BUF,5,-0.94,-91.7,490,16,0,0.0625,0.0625
Kimani Vidal,RB,LAC,3,0.22,14.9,485,12,0.3333333333333333,0.3333333333333333,0.4166666666666667
Michael Trigg,TE,DAL,,,,483,,NaN,NaN,NaN
Brenen Thompson,WR,LAC,,,,481,,NaN,NaN,NaN
Dontayvion Wicks,WR,PHI,4,-0.42,-49.7,477,14,0.07142857142857142,0.07142857142857142,0.07142857142857142
Pat Bryant,WR,DEN,4,-0.63,-58,472,14,0,0.07142857142857142,0.14285714285714285
Troy Franklin,WR,DEN,3,0.14,16.2,470,16,0.1875,0.25,0.375
Darnell Mooney,WR,NYG,4,-0.51,-47.4,467,14,0,0.07142857142857142,0.07142857142857142
Adonai Mitchell,WR,NYJ,4,-0.45,-48.3,463,15,0.06666666666666667,0.13333333333333333,0.2
Kevin Coleman,WR,MIA,,,,460,,NaN,NaN,NaN
Jake Tonges,TE,SF,4,-0.47,-48.3,458,16,0.0625,0.1875,0.375
Mason Taylor,TE,NYJ,4,-0.38,-34.4,457,13,0,0.15384615384615385,0.3076923076923077
Kyle Williams,WR,NE,5,-0.83,-82.8,457,16,0,0.0625,0.1875
Xavier Legette,WR,CAR,4,-0.47,-42.9,452,14,0.14285714285714285,0.14285714285714285,0.21428571428571427
Garrett Nussmeier,QB,KC,,,,440,,NaN,NaN,NaN
Calvin Ridley,WR,TEN,4,-0.18,-17.7,432,7,0,0.14285714285714285,0.14285714285714285
Taylen Green,QB,CLE,,,,431,,NaN,NaN,NaN
Caleb Douglas,WR,MIA,,,,423,,NaN,NaN,NaN
Chimere Dike,WR,TEN,4,-0.39,-30,416,16,0.0625,0.1875,0.3125
DJ Giddens,RB,IND,4,-0.59,-57.4,411,8,0,0,0
Eli Heidenreich,RB,PIT,,,,409,,NaN,NaN,NaN
Bryce Lance,WR,NO,,,,406,,NaN,NaN,NaN
Cooper Kupp,WR,SEA,4,-0.32,-29.4,399,15,0,0,0.2
Colby Parkinson,TE,LA,4,-0.31,-19.9,396,14,0.14285714285714285,0.35714285714285715,0.42857142857142855
Zavion Thomas,WR,CHI,,,,388,,NaN,NaN,NaN
Evan Engram,TE,DEN,4,-0.48,-46.6,378,15,0,0.06666666666666667,0.26666666666666666
James Conner,RB,ARI,3,0.07,4.7,374,3,0,0.3333333333333333,0.6666666666666666
Deebo Samuel,WR,,3,0.37,27.7,364,15,0.2,0.26666666666666666,0.4666666666666667
Marvin Mims,WR,DEN,4,-0.45,-40.5,335,14,0.07142857142857142,0.14285714285714285,0.14285714285714285
Isaiah Bond,WR,CLE,5,-0.81,-76.3,318,15,0,0,0.06666666666666667
George Holani,RB,SEA,4,-0.67,-65.8,307,11,0,0,0.09090909090909091
Devin Neal,RB,NO,4,-0.25,-25.1,305,10,0,0.1,0.3
Christian Kirk,WR,SF,4,-0.54,-52.3,293,12,0,0.08333333333333333,0.08333333333333333
Ryan Flournoy,WR,DAL,4,-0.35,-34.5,287,15,0.06666666666666667,0.13333333333333333,0.13333333333333333
Theo Johnson,TE,NYG,4,-0.17,-11.5,283,15,0.06666666666666667,0.3333333333333333,0.4666666666666667
Rashod Bateman,WR,BAL,4,-0.67,-60.2,282,13,0,0.07692307692307693,0.07692307692307693
Ja'Tavion Sanders,TE,CAR,4,-0.65,-62.3,281,13,0,0.07692307692307693,0.23076923076923078
Najee Harris,RB,,4,-0.17,-14.5,280,3,0,0,0
Cyrus Allen,WR,KC,,,,274,,NaN,NaN,NaN
Riley Leonard,QB,IND,4,-0.3,-32.76,257,4,0,0,0
Jalen Tolbert,WR,MIA,4,-0.63,-58.8,247,12,0,0.08333333333333333,0.08333333333333333
Gardner Minshew,QB,ARI,4,-0.48,-53.44,240,4,0,0,0
John Metchie,WR,CAR,5,-0.75,-68.2,229,15,0,0.13333333333333333,0.13333333333333333
Tahj Brooks,RB,CIN,5,-1.1,-111,227,15,0,0,0
Joe Flacco,QB,CIN,3,0.12,11.86,223,12,0.16666666666666666,0.25,0.5
Tez Johnson,WR,TB,4,-0.46,-41,222,15,0.06666666666666667,0.2,0.26666666666666666
Andrei Iosivas,WR,CIN,4,-0.59,-56.5,220,16,0,0.0625,0.125
Seth McGowan,RB,IND,,,,219,,NaN,NaN,NaN
Joe Milton,QB,DAL,4,-0.27,-29.06,216,3,0,0,0
Spencer Rattler,QB,NO,4,-0.15,-17.32,211,9,0,0,0.3333333333333333
Dont'e Thornton,WR,LV,5,-0.95,-93.1,210,14,0,0,0
Tutu Atwell,WR,MIA,4,-0.47,-47.7,207,9,0,0.1111111111111111,0.1111111111111111
Trevor Etienne,RB,CAR,5,-1.17,-115.7,204,16,0,0,0
Justice Hill,RB,BAL,4,-0.21,-22.6,204,10,0.1,0.1,0.2
Jameis Winston,QB,NYG,3,0.08,8.06,199,3,0.3333333333333333,0.3333333333333333,0.6666666666666666
Savion Williams,WR,GB,4,-0.73,-73,196,12,0,0,0
Cole Kmet,TE,CHI,4,-0.59,-58.1,188,15,0,0.06666666666666667,0.26666666666666666
Tyson Bagent,QB,CHI,4,-0.35,-38.2,185,3,0,0,0
Darnell Washington,TE,PIT,5,-0.75,-66.8,183,16,0,0.0625,0.1875
Darius Slayton,WR,NYG,4,-0.36,-33.6,183,13,0,0.07692307692307693,0.15384615384615385
Marcus Mariota,QB,WAS,3,0.11,0.8,181,11,0.09090909090909091,0.2727272727272727,0.6363636363636364
Luke Musgrave,TE,GB,5,-0.93,-87.5,179,16,0,0,0.125
Isaiah Davis,RB,NYJ,4,-0.68,-64.2,176,16,0,0.125,0.125
Tyquan Thornton,WR,KC,4,-0.39,-39.1,175,14,0,0.07142857142857142,0.21428571428571427
Mike Gesicki,TE,CIN,4,-0.49,-41,173,12,0.08333333333333333,0.08333333333333333,0.25
Jaylin Lane,WR,WAS,5,-0.86,-79.5,166,15,0,0,0
Jarquez Hunter,RB,LA,4,-0.43,-40.9,165,5,0,0,0
Noah Gray,TE,KC,5,-0.99,-92.6,164,15,0,0,0
Jerome Ford,RB,WAS,5,-0.74,-71,160,13,0,0,0
Dawson Knox,TE,BUF,4,-0.59,-49.6,157,16,0.0625,0.125,0.1875
Trey Lance,QB,LAC,4,-0.39,-35.32,155,3,0,0,0
Cedric Tillman,WR,CLE,4,-0.48,-49.6,154,12,0,0.08333333333333333,0.08333333333333333
Keenan Allen,WR,,3,0.08,6.7,147,16,0.125,0.25,0.25
DeMario Douglas,WR,NE,4,-0.52,-50.1,147,16,0.0625,0.125,0.125
Devaughn Vele,WR,NO,4,-0.48,-50.3,147,13,0.07692307692307693,0.07692307692307693,0.07692307692307693
Marquise Brown,WR,PHI,3,-0.1,-14.1,146,15,0.06666666666666667,0.13333333333333333,0.2
Ben Sinnott,TE,WAS,5,-1.08,-97.5,145,15,0,0,0.06666666666666667
Kendre Miller,RB,NO,4,-0.26,-25.4,143,7,0,0,0.14285714285714285
Will Shipley,RB,PHI,5,-0.99,-98.7,141,14,0,0,0
Jahan Dotson,WR,ATL,5,-0.91,-90.4,137,16,0,0,0.0625
Brashard Smith,RB,KC,5,-0.85,-81.8,135,16,0,0.0625,0.125
Davis Mills,QB,HOU,3,0.05,6.8,129,5,0.2,0.4,0.6
Calvin Austin,WR,NYG,4,-0.45,-46.8,124,13,0,0.07692307692307693,0.15384615384615385
Quinn Ewers,QB,MIA,3,-0.06,-7.14,120,3,0,0,0.3333333333333333
Treylon Burks,WR,WAS,4,-0.35,-35.3,112,7,0,0,0
KeAndre Lambert-Smith,WR,LAC,4,-0.7,-64.8,106,9,0,0,0
Malik Davis,RB,DAL,4,-0.32,-36.2,105,10,0,0.1,0.3
Deion Burks,WR,IND,,,,66,,NaN,NaN,NaN
Isaac Guerendo,RB,SF,5,-1.11,-108.6,42,14,0,0,0
Luke McCaffrey,WR,WAS,4,-0.28,-25.8,24,9,0,0.1111111111111111,0.3333333333333333
Jimmy Horn,WR,CAR,4,-0.72,-72.6,19,12,0,0,0
Jonnu Smith,TE,,4,-0.65,-59.4,18,16,0,0,0.1875
CJ Daniels,WR,LA,,,,17,,NaN,NaN,NaN
Jack Endries,TE,CIN,,,,15,,NaN,NaN,NaN
Jam Miller,RB,NE,,,,14,,NaN,NaN,NaN
Cole Payton,QB,PHI,,,,13,,NaN,NaN,NaN
Sam Roush,TE,CHI,,,,13,,NaN,NaN,NaN
J'Mari Taylor,RB,JAX,,,,12,,NaN,NaN,NaN
Audric Estime,RB,NO,4,-0.21,-19.7,12,6,0.16666666666666666,0.16666666666666666,0.16666666666666666
Mack Hollins,WR,NE,4,-0.35,-29.4,11,15,0,0.06666666666666667,0.26666666666666666
Tyler Huntley,QB,BAL,4,-0.17,-20.68,10,5,0,0,0.4
Charlie Kolar,TE,LAC,5,-1.03,-94.7,8,16,0,0,0.125
Zonovan Knight,RB,ARI,3,-0.1,-12.7,7,12,0,0.3333333333333333,0.5
Emari Demercado,RB,KC,4,-0.49,-48.4,5,12,0,0.08333333333333333,0.16666666666666666
Mitchell Evans,TE,CAR,5,-0.92,-87.9,5,16,0,0,0.125
Cade Stover,TE,HOU,4,-0.52,-49.9,4,8,0,0,0
Dillon Gabriel,QB,CLE,4,-0.59,-57.7,2,10,0,0.1,0.2
Efton Chism,WR,NE,4,-0.41,-42.1,2,7,0,0,0.14285714285714285
Ameer Abdullah,RB,JAX,4,-0.68,-68.7,0,12,0,0,0
Ashton Dulin,WR,IND,4,-0.72,-69.9,0,11,0,0,0
Austin Hooper,TE,ATL,5,-0.8,-70.7,0,15,0,0,0.13333333333333333
Ben Skowronek,WR,PIT,5,-1.09,-110.5,0,16,0,0,0.0625
Bo Melton,WR,GB,5,-0.96,-94,0,15,0,0.06666666666666667,0.06666666666666667
Cedrick Wilson,WR,DET,4,-0.65,-64.8,0,9,0,0,0
Charlie Jones,WR,CIN,5,-1.09,-105.4,0,14,0,0,0
Chase Edmonds,RB,WAS,4,-0.21,-23,0,3,0,0,0
Clayton Tune,QB,GB,3,-0.09,-10.54,0,1,0,0,0
Clyde Edwards-Helaire,RB,KC,3,-0.1,-11.2,0,2,0,0,0
Craig Reynolds,RB,NE,4,-0.59,-56.1,0,7,0,0,0
David Moore,WR,CAR,4,-0.35,-31.5,0,4,0,0,0
Davis Allen,TE,LA,5,-0.8,-74.9,0,16,0,0,0.1875
Adam Trautman,TE,DEN,5,-0.96,-90.7,0,16,0,0,0.125
Allen Lazard,WR,,4,-0.66,-63.3,0,10,0,0,0
Noah Brown,WR,,4,-0.23,-22.6,0,4,0,0,0
Julius Chestnut,RB,TEN,5,-1.23,-121.8,0,16,0,0,0
Jonathan Mingo,WR,DAL,4,-0.34,-36.5,0,5,0,0,0
Will Dissly,TE,,4,-0.49,-47.6,0,8,0,0,0
Curtis Samuel,WR,,4,-0.3,-29.9,0,6,0,0,0
Joshua Dobbs,QB,NE,4,-0.31,-33.96,0,3,0,0,0
Malik Benson,WR,LV,,,,0,,NaN,NaN,NaN
Elijah Mitchell,RB,PHI,3,-0.06,-7.2,0,1,0,0,0
Elijah Moore,WR,PHI,4,-0.49,-46.8,0,9,0,0,0
Marquez Valdes-Scantling,WR,DAL,4,-0.58,-54.6,0,9,0,0,0
Van Jefferson,WR,WAS,5,-0.79,-72.4,0,16,0,0,0.125
Antonio Gibson,RB,,4,-0.23,-19.4,0,5,0,0,0.2
Tommy Tremble,TE,CAR,5,-0.92,-86.5,0,16,0,0.0625,0.125
Nate Boerkircher,TE,JAX,,,,0,,NaN,NaN,NaN
Isaiah Hodgins,WR,NYG,4,-0.27,-25.1,0,6,0,0,0.3333333333333333
Terrell Jennings,RB,NE,4,-0.38,-38.1,0,7,0,0.14285714285714285,0.14285714285714285
Tyler Badie,RB,DEN,5,-0.99,-97.2,0,15,0,0,0
Hunter Long,TE,JAX,4,-0.47,-44.5,0,9,0,0.1111111111111111,0.2222222222222222
Jamari Thrash,WR,CLE,4,-0.6,-56.1,0,9,0,0,0
Brandin Cooks,WR,,5,-0.85,-81.7,0,15,0,0.06666666666666667,0.06666666666666667
Terion Stewart,RB,KC,,,,0,,NaN,NaN,NaN
Gabe Davis,WR,,4,-0.27,-25.7,0,5,0,0,0
Barion Brown,WR,NO,,,,0,,NaN,NaN,NaN
Philip Rivers,QB,IND,3,-0.04,-4.54,0,3,0,0,0.3333333333333333
Tyler Conklin,TE,DET,5,-0.89,-82.1,0,12,0,0,0
Tahj Washington,WR,MIA,4,-0.39,-39.1,0,5,0,0,0
Max Brosmer,QB,MIN,5,-0.77,-77,0,7,0,0,0
Andy Dalton,QB,PHI,4,-0.43,-46.54,0,5,0,0,0
Jawhar Jordan,RB,HOU,3,0.02,2.6,0,3,0,0.3333333333333333,0.6666666666666666
Miles Sanders,RB,,4,-0.11,-9.6,0,4,0,0,0
Raheem Mostert,RB,LV,4,-0.7,-70.7,0,12,0,0,0
Carson Wentz,QB,MIN,3,0.14,12.04,0,5,0,0.2,0.6
Sterling Shepard,WR,,4,-0.43,-39.6,0,13,0,0,0
Taysom Hill,TE,,4,-0.64,-61.62,0,12,0.08333333333333333,0.08333333333333333,0.08333333333333333
Tyler Lockett,WR,,5,-0.83,-77.3,0,16,0,0,0
Zavier Scott,RB,MIN,5,-0.85,-88.1,0,15,0,0.06666666666666667,0.06666666666666667
Jake Browning,QB,TB,3,-0.09,-12.52,0,5,0,0.4,0.4
Adam Thielen,WR,,5,-0.95,-94.7,0,15,0,0,0
Brock Wright,TE,DET,4,-0.59,-55.5,0,11,0,0.09090909090909091,0.18181818181818182
Jaleel McLaughlin,RB,DEN,4,-0.32,-32.4,0,7,0,0,0
Cooper Rush,QB,BAL,4,-0.57,-55.48,0,4,0,0,0
Dameon Pierce,RB,PHI,4,-0.32,-28.7,0,4,0,0,0
DeAndre Hopkins,WR,,4,-0.72,-72.2,0,16,0,0,0.125
Demarcus Robinson,WR,SF,4,-0.6,-59.2,0,13,0,0,0
Hassan Haskins,RB,,5,-0.82,-80.5,0,11,0,0,0
Hunter Renfrow,WR,,4,-0.24,-21.3,0,6,0.16666666666666666,0.16666666666666666,0.16666666666666666
Jeremy McNichols,RB,WAS,4,-0.7,-67.3,0,16,0,0.0625,0.125
Josh Reynolds,WR,,4,-0.26,-22.1,0,5,0,0,0
JuJu Smith-Schuster,WR,NYG,4,-0.73,-73.2,0,16,0,0,0.0625
Kameron Johnson,WR,TB,5,-1.15,-111.6,0,16,0,0.0625,0.0625
Michael Carter,RB,TEN,4,-0.15,-17.1,0,12,0,0.08333333333333333,0.3333333333333333
Joshua Palmer,WR,BUF,4,-0.48,-47.6,0,11,0,0,0
Kalel Mullings,RB,TEN,4,-0.64,-62.5,0,8,0,0,0
Rasheen Ali,RB,BAL,5,-0.97,-92.2,0,14,0,0,0.07142857142857142
Roschon Johnson,RB,CHI,4,-0.52,-53.1,0,7,0,0,0
Kenny Pickett,QB,CAR,4,-0.42,-49.22,0,5,0,0,0
Ty Johnson,RB,BUF,4,-0.61,-55.7,0,16,0,0.0625,0.1875
Austin Ekeler,RB,,3,-0.07,-6.5,0,2,0,0,0
Mitchell Trubisky,QB,TEN,4,-0.34,-35.12,0,3,0,0,0
Raheim Sanders,RB,CLE,3,-0.1,-9.4,0,3,0,0,0
Roman Wilson,WR,PIT,4,-0.72,-68.8,0,13,0.07692307692307693,0.07692307692307693,0.15384615384615385
Russell Wilson,QB,NYG,4,-0.24,-27.14,0,6,0.16666666666666666,0.16666666666666666,0.16666666666666666
Tai Felton,WR,MIN,5,-1.27,-124,0,16,0,0,0
Tyrod Taylor,QB,GB,3,-0.07,-11.96,0,6,0.16666666666666666,0.3333333333333333,0.5
Xavier Hutchinson,WR,HOU,4,-0.56,-58.4,0,16,0.0625,0.125,0.125
Devontez Walker,WR,BAL,4,-0.72,-67.1,0,11,0,0.09090909090909091,0.09090909090909091
Jordan Whittington,WR,LA,5,-1.03,-100.1,0,16,0,0,0
KaVontae Turpin,WR,DAL,4,-0.41,-40.1,0,14,0.07142857142857142,0.07142857142857142,0.14285714285714285
Kendrick Bourne,WR,ARI,4,-0.43,-45.9,0,15,0.06666666666666667,0.13333333333333333,0.13333333333333333
Konata Mumpfield,WR,LA,5,-1.11,-107.2,0,16,0,0,0
Noah Fant,TE,NO,4,-0.54,-50,0,14,0,0.14285714285714285,0.2857142857142857
Olamide Zaccheaus,WR,ATL,4,-0.53,-53.4,0,15,0,0.06666666666666667,0.06666666666666667
