player,pos,team,worpTier,worp,porp,tradeValue,week,spikeHighP,spikeMidP,spikeLowP
Tip Reiman,TE,ARI,4,-0.36,-29.6,0,4,0,0,0
Travis Homer,RB,PIT,4,-0.69,-70.1,0,9,0,0,0
Trayveon Williams,RB,,4,-0.37,-37.6,0,6,0,0,0
Trey Sermon,RB,,4,-0.31,-31.7,0,4,0,0,0
Ty Chandler,RB,NO,4,-0.16,-13.5,0,2,0,0,0
Tylan Wallace,WR,CLE,5,-0.91,-90.2,0,13,0,0,0
Tyler Goodson,RB,ATL,5,-0.74,-74.7,0,10,0,0,0
Tyler Johnson,WR,DAL,4,-0.67,-63.7,0,12,0,0.08333333333333333,0.08333333333333333
Will Mallory,TE,IND,4,-0.16,-14.2,0,2,0,0,0
Xavier Gipson,WR,NYG,4,-0.45,-46.1,0,6,0,0,0
Zay Jones,WR,,4,-0.42,-39.1,0,8,0,0,0.125

Data Exported from dynasty-daddy.com.
